ICAO,Latitude,Longitude
ENDI,60.417301178,8.5183496475
ENDU,69.0558013916,18.5403995514
ENEV,68.4913024902,16.6781005859
ENFG,61.0155982971,9.2880601883
ENFL,61.5835990906,5.024720192
ENGM,60.193901062,11.100399971
ENHD,59.3452987671,5.2083601952
ENHK,70.4867019653,22.1396999359
ENKB,63.1118011475,7.8245201111
ENKJ,59.9692993164,11.0361003876
ENKR,69.7257995605,29.8913002014
ENLI,58.0994987488,6.6260499954
ENML,62.7447013855,7.2624998093
ENMS,65.783996582,13.2149000168
ENNA,70.0688018799,24.9734992981
ENNO,59.565701,9.21222
ENOL,63.6988983154,9.6040000916
ENRO,62.5783996582,11.342300415
ENRY,59.378817,10.785439
ENSB,78.2461013794,15.4656000137
ENSN,59.1850013733,9.5669403076
ENSO,59.7919006348,5.3408498764
ENST,65.9568023682,12.4688997269
ENTC,69.6832962036,18.9188995361
ENTO,59.1866989136,10.258600235
ENVA,63.4578018,10.9239998
ENZV,58.876701354,5.6377801895
EPBC,52.2685012817,20.9109992981
EPGD,54.3776016235,18.4661998749
EPKK,50.0777015686,19.7847995758
EPKM,50.2380981445,19.0342006683
EPKT,50.4743,19.08
EPML,50.3222999573,21.4620990753
EPPO,52.4210014343,16.8262996674
EPRZ,50.1100006104,22.0189990997
EPSC,53.5847015381,14.9021997452
EPSK,54.4789009094,17.1075000763
EPSN,53.790599823,15.8262996674
EPWA,52.1656990051,20.9671001434
EPWR,51.1026992798,16.885799408
EPZG,52.1385002136,15.7986001968
ESCF,58.4023017883,15.5256996155
ESCK,58.6109008789,16.1035995483
ESCM,59.8973007202,17.5886001587
ESDF,56.2667007446,15.2650003433
ESFR,58.4981002808,13.0531997681
ESGG,57.6627998352,12.279800415
ESGJ,57.757598877,14.0686998367
ESGK,58.1697998047,13.5878000259
ESGL,58.4654998779,13.1744003296
ESGP,57.7747001648,11.8704004288
ESGR,58.456401825,13.972700119
ESGT,58.3180999756,12.345000267
ESIA,58.5138015747,14.5071001053
ESIB,58.426399231,12.7144002914
ESKB,59.4144743644,17.8821372986
ESKK,59.3459014893,14.4959001541
ESKM,60.957901001,14.5114002228
ESKN,58.7886009216,16.9122009277
ESKV,59.6758995056,12.6393995285
ESMA,56.610802,15.6048
ESMG,56.9502983093,13.9216995239
ESMK,55.9216995239,14.0854997635
ESML,55.9459991455,12.8699998856
